INFO 2024-10-03 07:20:34,990 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:20:35,128 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:20:35,151 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:20:35,155 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:20:35,155 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:20:37,105 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:20:37,133 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:20:38,157 basehttp "GET /api/v1/dataupload/navigation/ HTTP/1.1" 200 4327
INFO 2024-10-03 07:22:11,205 basehttp "GET /api/v1/dataupload/ HTTP/1.1" 200 3502
INFO 2024-10-03 07:22:12,718 basehttp "GET /api/v1/dataupload/navigation/ HTTP/1.1" 200 4327
INFO 2024-10-03 07:26:15,952 autoreload Watching for file changes with StatReloader
WARNING 2024-10-03 07:26:24,560 log Not Found: /
WARNING 2024-10-03 07:26:24,561 basehttp "GET / HTTP/1.1" 404 2411
INFO 2024-10-03 07:26:28,434 basehttp "GET /api/v1/user/login/ HTTP/1.1" 200 3975
INFO 2024-10-03 07:26:33,706 basehttp "POST /api/v1/user/login/ HTTP/1.1" 302 0
INFO 2024-10-03 07:26:33,718 basehttp "GET /api/v1/dataupload/ HTTP/1.1" 200 3502
INFO 2024-10-03 07:26:36,411 basehttp "GET /api/v1/dataupload/navigation/ HTTP/1.1" 200 4327
INFO 2024-10-03 07:26:38,632 basehttp "GET /api/v1/dataupload/api/ HTTP/1.1" 200 52
INFO 2024-10-03 07:26:50,324 basehttp "GET /api/v1/dataupload/upload/ HTTP/1.1" 200 3958
INFO 2024-10-03 07:29:12,182 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:29:12,219 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:29:12,221 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:29:12,223 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:29:12,910 basehttp "GET /api/v1/dataupload/navigation/ HTTP/1.1" 200 4327
INFO 2024-10-03 07:29:15,301 basehttp "GET /api/v1/dataupload/api/ HTTP/1.1" 200 52
INFO 2024-10-03 07:31:22,135 basehttp "GET /api/v1/dataupload/upload/ HTTP/1.1" 200 3958
INFO 2024-10-03 07:39:56,432 basehttp "POST /api/v1/dataupload/upload/ HTTP/1.1" 200 51
INFO 2024-10-03 07:40:30,522 basehttp "GET /api/v1/dataupload/upload/ HTTP/1.1" 200 3958
INFO 2024-10-03 07:40:31,896 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:40:32,003 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 14241
INFO 2024-10-03 07:40:33,886 basehttp "GET /api/v1/dataupload/navigation/ HTTP/1.1" 200 4327
